date,open,high,low,close,volume
1980-12-12,0.0998,0.1002,0.0998,0.0998,469033600
1980-12-15,0.0951,0.0951,0.0946,0.0946,175884800
1980-12-16,0.0881,0.0881,0.0877,0.0877,105728000
1980-12-17,0.0898,0.0903,0.0898,0.0898,86441600
1980-12-18,0.0925,0.0929,0.0925,0.0925,73449600
1980-12-19,0.0981,0.0985,0.0981,0.0981,48630400
1980-12-22,0.1029,0.1033,0.1029,0.1029,37363200
1980-12-23,0.1072,0.1076,0.1072,0.1072,46950400
1980-12-24,0.1129,0.1133,0.1129,0.1129,48003200
1980-12-26,0.1233,0.1237,0.1233,0.1233,55574400
1980-12-29,0.125,0.1255,0.125,0.125,93161600
1980-12-30,0.1224,0.1224,0.122,0.122,68880000
1980-12-31,0.1189,0.1189,0.1185,0.1185,35750400
1981-01-02,0.1198,0.1207,0.1198,0.1198,21660800
1981-01-05,0.1176,0.1176,0.1172,0.1172,35728000
1981-01-06,0.1124,0.1124,0.112,0.112,45158400
1981-01-07,0.1076,0.1076,0.1072,0.1072,55686400
1981-01-08,0.1055,0.1055,0.105,0.105,39827200
1981-01-09,0.1107,0.1111,0.1107,0.1107,21504000
1981-01-12,0.1107,0.1107,0.1098,0.1098,23699200
1981-01-13,0.1064,0.1064,0.1059,0.1059,23049600
1981-01-14,0.1064,0.1068,0.1064,0.1064,14291200
1981-01-15,0.1085,0.1094,0.1085,0.1085,14067200
1981-01-16,0.1081,0.1081,0.1076,0.1076,13395200
1981-01-19,0.1141,0.1146,0.1141,0.1141,41574400
1981-01-20,0.1111,0.1111,0.1107,0.1107,30083200
1981-01-21,0.1129,0.1137,0.1129,0.1129,15904000
1981-01-22,0.1141,0.115,0.1141,0.1141,35548800
1981-01-23,0.1141,0.1146,0.1137,0.1137,11222400
1981-01-26,0.1124,0.1124,0.112,0.112,24640000
1981-01-27,0.112,0.112,0.1111,0.1111,23699200
1981-01-28,0.1081,0.1081,0.1076,0.1076,28156800
1981-01-29,0.1042,0.1042,0.1037,0.1037,43904000
1981-01-30,0.099,0.099,0.0981,0.0981,46188800
1981-02-02,0.0929,0.0929,0.0925,0.0925,23766400
1981-02-03,0.0959,0.0964,0.0959,0.0959,19152000
1981-02-04,0.0994,0.0998,0.0994,0.0994,27865600
1981-02-05,0.0994,0.1002,0.0994,0.0994,7929600
1981-02-06,0.0998,0.1002,0.0998,0.0998,13865600
1981-02-09,0.0955,0.0955,0.0946,0.0946,16755200
1981-02-10,0.0946,0.0951,0.0946,0.0946,18345600
1981-02-11,0.092,0.092,0.0916,0.0916,13843200
1981-02-12,0.0912,0.0912,0.0907,0.0907,14560000
1981-02-13,0.0894,0.0894,0.0885,0.0885,11155200
1981-02-17,0.0907,0.0912,0.0907,0.0907,12275200
1981-02-18,0.0946,0.0955,0.0946,0.0946,19241600
1981-02-19,0.0894,0.0894,0.089,0.089,22310400
1981-02-20,0.0847,0.0847,0.0842,0.0842,24371200
1981-02-23,0.0855,0.0859,0.0855,0.0855,14112000
1981-02-24,0.0833,0.0833,0.0825,0.0825,16979200
1981-02-25,0.0877,0.0881,0.0877,0.0877,19488000
1981-02-26,0.089,0.0894,0.089,0.089,10841600
1981-02-27,0.092,0.0929,0.092,0.092,14761600
1981-03-02,0.0925,0.0929,0.0925,0.0925,11760000
1981-03-03,0.0916,0.0916,0.0912,0.0912,16172800
1981-03-04,0.0907,0.0907,0.0903,0.0903,13708800
1981-03-05,0.0903,0.0903,0.0898,0.0898,5376000
1981-03-06,0.0898,0.0898,0.089,0.089,11603200
1981-03-09,0.0825,0.0825,0.0821,0.0821,15321600
1981-03-10,0.0786,0.0786,0.0781,0.0781,28380800
1981-03-11,0.0759,0.0759,0.0751,0.0751,29859200
1981-03-12,0.0781,0.0786,0.0781,0.0781,59248000
1981-03-13,0.0777,0.0777,0.0773,0.0773,231302400
1981-03-16,0.0803,0.0811,0.0803,0.0803,37228800
1981-03-17,0.0842,0.0851,0.0842,0.0842,43747200
1981-03-18,0.0894,0.0903,0.0894,0.0894,36937600
1981-03-19,0.089,0.089,0.0885,0.0885,37811200
1981-03-20,0.0894,0.0903,0.0894,0.0894,14604800
1981-03-23,0.0929,0.0938,0.0929,0.0929,22019200
1981-03-24,0.0929,0.0929,0.0925,0.0925,28156800
1981-03-25,0.0916,0.0916,0.0907,0.0907,7056000
1981-03-26,0.0894,0.0894,0.089,0.089,12275200
1981-03-27,0.0864,0.0864,0.0859,0.0859,12252800
1981-03-30,0.0859,0.0868,0.0859,0.0859,9900800
1981-03-31,0.0859,0.0859,0.0851,0.0851,15993600
1981-04-01,0.0847,0.0847,0.0842,0.0842,34070400
1981-04-02,0.0916,0.092,0.0916,0.0916,31404800
1981-04-03,0.092,0.0925,0.092,0.092,16486400
1981-04-06,0.0907,0.0907,0.0903,0.0903,22803200
1981-04-07,0.0898,0.0898,0.0894,0.0894,10684800
1981-04-08,0.0938,0.0946,0.0938,0.0938,21952000
1981-04-09,0.0955,0.0959,0.0955,0.0955,12499200
1981-04-10,0.0968,0.0972,0.0968,0.0968,33465600
1981-04-13,0.0968,0.0972,0.0968,0.0968,16060800
1981-04-14,0.0968,0.0972,0.0968,0.0968,6652800
1981-04-15,0.0925,0.0925,0.092,0.092,34048000
1981-04-16,0.0872,0.0872,0.0868,0.0868,23878400
1981-04-20,0.0894,0.0898,0.0894,0.0894,35347200
1981-04-21,0.0955,0.0959,0.0955,0.0955,28537600
1981-04-22,0.099,0.0994,0.099,0.099,18995200
1981-04-23,0.1016,0.102,0.1016,0.1016,58016000
1981-04-24,0.1016,0.1016,0.1007,0.1007,35056000
1981-04-27,0.1002,0.1002,0.0998,0.0998,38528000
1981-04-28,0.0985,0.0985,0.0981,0.0981,32188800
1981-04-29,0.0972,0.0972,0.0968,0.0968,13641600
1981-04-30,0.0985,0.0994,0.0985,0.0985,12611200
1981-05-01,0.0985,0.0994,0.0985,0.0985,16553600
1981-05-04,0.0985,0.0985,0.0981,0.0981,14448000
1981-05-05,0.0981,0.0981,0.0976,0.0976,17539200
1981-05-06,0.0955,0.0955,0.0951,0.0951,18950400
1981-05-07,0.0964,0.0968,0.0964,0.0964,9363200
1981-05-08,0.0972,0.0976,0.0972,0.0972,7907200
1981-05-11,0.0955,0.0955,0.0951,0.0951,11939200
1981-05-12,0.0951,0.0964,0.0951,0.0951,4256000
1981-05-13,0.0951,0.0959,0.0946,0.0946,4905600
1981-05-14,0.0942,0.0942,0.0933,0.0933,4928000
1981-05-15,0.0955,0.0968,0.0955,0.0955,4905600
1981-05-18,0.0972,0.0981,0.0972,0.0972,4166400
1981-05-19,0.0959,0.0959,0.0955,0.0955,25424000
1981-05-20,0.0985,0.0994,0.0985,0.0985,13283200
1981-05-21,0.1042,0.1046,0.1042,0.1042,32211200
1981-05-22,0.109,0.1098,0.109,0.109,31427200
1981-05-26,0.109,0.109,0.1085,0.1085,85344000
1981-05-27,0.1146,0.115,0.1146,0.1146,149497600
1981-05-28,0.1146,0.115,0.1146,0.1146,73987200
1981-05-29,0.115,0.1155,0.115,0.115,59382400
1981-06-01,0.115,0.1155,0.115,0.115,51251200
1981-06-02,0.1098,0.1098,0.1094,0.1094,40432000
1981-06-03,0.1094,0.1102,0.1094,0.1094,39446400
1981-06-04,0.1115,0.112,0.1115,0.1115,56067200
1981-06-05,0.1102,0.1102,0.1098,0.1098,57680000
